feature,importance
derecha,0.03814153145843464
ciudadanía,0.024661037120796602
transformación,0.011111182452473625
socio,0.010763596917631789
crear empleo,0.008941659186251543
cuestión,0.008694029573267235
evidentemente,0.008616843584827078
diputado bien,0.007626579409954886
transición,0.0074556830079355344
respecto,0.0071444997611261
creación empleo,0.006474869673369959
pandemia,0.006063202101158904
empleo,0.005920498459181709
recorte,0.005070098034913883
mayoría absoluto,0.004872693086983381
independentista,0.004826728173452726
necesidad,0.0048166086235630875
izquierda,0.004677554979920092
asunto,0.004542660483764921
elemento,0.004511156372451711
2016,0.0044182999403491055
recortar,0.004064646024341356
ultraderecha,0.004032561495605336
extraordinario,0.003891086978565828
digno,0.003856496898944383
destruir,0.0035005827967438423
indicar,0.003104709532029282
colectivo,0.0031018370050839503
inversión,0.0030182087920992877
ciudadana,0.0029890397996549653
amnistía fiscal,0.002921962508226871
2015,0.0028930547843247154
propaganda,0.002889489997060901
crecer,0.002834643090639754
término,0.002546078169408399
comentar,0.002513573222713142
proyecto presupuesto,0.0025033563392161235
millón español,0.0024635097949937948
convalidación real,0.0024352799833517896
mundo,0.002373097544911707
español española,0.0022410720391741155
pagar,0.0022397213038923554
español tener,0.0021752991740124745
ciudadano ciudadana,0.0021619454520076624
historia,0.0021354631294520604
periodo,0.0021183525880430153
formula,0.00211716981967949
constitución,0.002065424103494398
tejido productivo,0.002044255831929811
trabajador,0.002037646505193625
entender,0.0020360891051412434
2014,0.001968884504954856
fallecido,0.001967755179778737
año 2012,0.0019597792286429835
2009,0.0019589592073568198
nacional,0.0019523366947380514
nación,0.0019471225449547067
extremo derecha,0.0019441480579813417
impacto,0.0019391927666276305
progresista,0.0019175067226943846
varios,0.001914299274570335
mirada,0.0018979410393597305
asesor,0.0018978902567794466
dar respuesta,0.0018441757895512614
cataluña,0.0018382564278882874
convalidación,0.001830770614376106
diputado diputada,0.0018273509765261787
movilidad,0.0018028924824579889
subir,0.0017643623424645823
nadie,0.0017501910767986244
desigualdad,0.0017052082841650105
recurso,0.0016952106452253319
año 2016,0.001691634905079623
efectivamente,0.001677675781707256
recesión,0.0016592738902661754
plan recuperación,0.0016435080396715422
crear,0.0016420630330897237
españa tener,0.0016278803658969305
2011,0.0016253083260667066
conjunto,0.0016074750366539313
territorio,0.0015934246624252596
internet,0.0015916610046788195
devaluación,0.0015580677627718453
interior,0.0015445471080156687
decidir,0.0015354619799080457
plan recuperación transformación,0.0015094255784537157
monteros,0.0014740722007826194
siete año,0.0014690589251640791
amnistía,0.0014033305594486813
180,0.0013978030487903806
sectarismo,0.0013960423246140604
venia,0.0013821051306283092
